"Station_code","Station_name","Lat","Long","Species","Tissue","Substance","Year","Conc","Limit_of_quantification","Body_length"
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2012,0.05,"Under LOQ",36.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2013,0.05,"Under LOQ",34.1
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2014,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2015,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2016,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2017,0.219,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2018,0.233,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2020,0.244,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",1996,0.05,"Over LOQ",24
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",1997,0.05,"Under LOQ",18.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",1999,0.1,"Under LOQ",21.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2000,0.07,"Under LOQ",23.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2001,0.15,"Under LOQ",23.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2002,0.1,"Under LOQ",31.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2003,0.1,"Under LOQ",23
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2004,0.05,"Under LOQ",25.3
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2005,0.05,"Under LOQ",32.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2006,0.18,"Over LOQ",24.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2007,0.1,"Under LOQ",24.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2008,0.05,"Under LOQ",27.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2009,0.05,"Under LOQ",27.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2010,0.05,"Under LOQ",28
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2011,0.05,"Under LOQ",34.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2012,0.05,"Under LOQ",36.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2013,0.05,"Under LOQ",34.1
